question,category,subcategory
Is the PAM solution's configuration regularly reviewed and updated to ensure effectiveness?,Identity and Access Management,Privileged Access Management
Are there specific controls in place to prevent privilege escalation attacks?,Identity and Access Management,Privileged Access Management
Does the organization have a documented incident response plan that includes procedures for handling compromised privileged accounts?,Identity and Access Management,Privileged Access Management
Are privileged user activities regularly audited to detect and respond to suspicious behavior (CIS Control 6.4)?,Identity and Access Management,Privileged Access Management
Are there defined procedures for the secure storage and handling of privileged account passwords?,Identity and Access Management,Privileged Access Management
Is there a process to regularly rotate privileged account passwords (NIST 800-53 IA-5)?,Identity and Access Management,Privileged Access Management
Does the password policy enforce strong password requirements for privileged accounts?,Identity and Access Management,Privileged Access Management
"Is there a formal process for requesting and approving privileged access (ISO 27001, A.9.1.2)?",Identity and Access Management,Privileged Access Management
Are temporary or break-glass privileged accounts used only in exceptional circumstances and subject to heightened monitoring?,Identity and Access Management,Privileged Access Management
Is access to the PAM solution itself restricted to a limited number of authorized personnel?,Identity and Access Management,Privileged Access Management
Are there controls in place to prevent unauthorized access to the PAM system's audit logs?,Identity and Access Management,Privileged Access Management
Are regular vulnerability scans performed on systems hosting the PAM solution?,Identity and Access Management,Privileged Access Management
Are all privileged accounts and systems subject to regular vulnerability assessments?,Identity and Access Management,Privileged Access Management
"Is there a documented process for managing the lifecycle of privileged accounts, from creation to termination?",Identity and Access Management,Privileged Access Management
Are privileged access rights reviewed when systems or applications are upgraded or modified?,Identity and Access Management,Privileged Access Management
Is there a process to ensure that privileged access rights are aligned with the principle of separation of duties?,Identity and Access Management,Privileged Access Management
Are there controls to prevent privileged users from circumventing security controls?,Identity and Access Management,Privileged Access Management
Is there a defined process for securely decommissioning privileged accounts and removing associated credentials?,Identity and Access Management,Privileged Access Management
Are there mechanisms in place to detect and prevent the use of default passwords for privileged accounts?,Identity and Access Management,Privileged Access Management
Is there a documented process for granting emergency access to systems using privileged credentials?,Identity and Access Management,Privileged Access Management
Are privileged users required to complete security awareness training specific to privileged access management?,Identity and Access Management,Privileged Access Management
"Does the security awareness training cover topics such as password hygiene, phishing awareness, and secure remote access practices?",Identity and Access Management,Privileged Access Management
Are contractors and third-party vendors with privileged access subject to the same security controls and monitoring as internal employees?,Identity and Access Management,Privileged Access Management
Is the organization able to generate reports on privileged access activity for compliance and audit purposes?,Identity and Access Management,Privileged Access Management
Does the organization have a process for managing and securing SSH keys used for privileged access?,Identity and Access Management,Privileged Access Management
Are SSH keys rotated regularly and stored securely?,Identity and Access Management,Privileged Access Management
Is the organization able to detect and respond to unauthorized SSH key usage?,Identity and Access Management,Privileged Access Management
Are privileged accounts used for automated tasks and scripts managed with the same level of security as interactive user accounts?,Identity and Access Management,Privileged Access Management
Are service accounts granted only the minimum necessary privileges to perform their intended functions?,Identity and Access Management,Privileged Access Management
Is the organization able to track the usage of service accounts and identify any anomalous activity?,Identity and Access Management,Privileged Access Management
Is there a process to ensure that privileged accounts are not used for non-business-related activities?,Identity and Access Management,Privileged Access Management
Are there technical controls in place to prevent privileged users from installing unauthorized software or making unauthorized configuration changes?,Identity and Access Management,Privileged Access Management
Is there a process for conducting background checks on individuals who will be granted privileged access?,Identity and Access Management,Privileged Access Management
Are privileged users required to sign confidentiality agreements and agree to adhere to the organization's security policies?,Identity and Access Management,Privileged Access Management
Is there a process to ensure that privileged access rights are revoked when an employee goes on leave or is temporarily absent?,Identity and Access Management,Privileged Access Management
Does the organization have a documented process for managing privileged access to cloud-based resources?,Identity and Access Management,Privileged Access Management
Are there specific security controls in place to protect privileged accounts from cloud-specific threats?,Identity and Access Management,Privileged Access Management
Is the organization able to monitor privileged access activity in the cloud environment?,Identity and Access Management,Privileged Access Management
Does the organization have a process for regularly testing the effectiveness of its privileged access management controls?,Identity and Access Management,Privileged Access Management
Are the results of these tests used to improve the organization's security posture?,Identity and Access Management,Privileged Access Management
Is the organization's privileged access management program aligned with industry best practices and regulatory requirements?,Identity and Access Management,Privileged Access Management
Is there a designated individual or team responsible for overseeing the privileged access management program?,Identity and Access Management,Privileged Access Management
"Does the organization enforce session timeouts for all applications based on user inactivity, considering sensitivity of data accessed (ISO 27001 A.9.4.2)?",Identity and Access Management,Session Management
Are session identifiers (session IDs) generated using cryptographically secure methods to prevent predictability and session hijacking (NIST SP 800-53 IA-5(12))?,Identity and Access Management,Session Management
"Does the organization implement multi-factor authentication (MFA) for privileged sessions, including those used for administrative access (CIS Control 6.4)?",Identity and Access Management,Session Management
Are session cookies configured with the 'Secure' attribute to ensure they are only transmitted over HTTPS?,Identity and Access Management,Session Management
"Are session cookies configured with the 'HttpOnly' attribute to prevent access by client-side scripts, mitigating cross-site scripting (XSS) attacks?",Identity and Access Management,Session Management
Does the organization monitor for concurrent sessions from the same user account to detect potential unauthorized access?,Identity and Access Management,Session Management
Are users automatically logged out of sessions after a predefined period of inactivity in accordance to the sensitivity of data accessed?,Identity and Access Management,Session Management
Does the organization have a process for invalidating active sessions when a user's employment is terminated or their role changes?,Identity and Access Management,Session Management
"Are session management mechanisms regularly reviewed and tested for vulnerabilities, including session fixation and session hijacking?",Identity and Access Management,Session Management
Does the organization use session tokens with sufficient entropy and length to prevent brute-force attacks?,Identity and Access Management,Session Management
Are session tokens stored securely on both the client and server-side?,Identity and Access Management,Session Management
Is there a mechanism in place to detect and prevent session replay attacks?,Identity and Access Management,Session Management
"Are session logs regularly reviewed for suspicious activity, such as unusual access patterns or session hijacking attempts?",Identity and Access Management,Session Management
"Does the organization implement controls to prevent session fixation attacks, such as regenerating session IDs upon successful login?",Identity and Access Management,Session Management
Are error messages related to session management designed to avoid revealing sensitive information about the system's internal workings?,Identity and Access Management,Session Management
Does the organization use a centralized session management system for web applications?,Identity and Access Management,Session Management
Are session cookies configured with appropriate scope and domain attributes to prevent cross-site request forgery (CSRF) attacks?,Identity and Access Management,Session Management
Does the organization employ a web application firewall (WAF) to protect against session-based attacks?,Identity and Access Management,Session Management
Are session management policies and procedures documented and communicated to all relevant personnel?,Identity and Access Management,Session Management
"Is there a process for revoking sessions in response to security incidents, such as a compromised user account?",Identity and Access Management,Session Management
Does the organization utilize secure session protocols like TLS/SSL to encrypt session data in transit?,Identity and Access Management,Session Management
Is there a mechanism to force a password reset upon detection of a potentially compromised session?,Identity and Access Management,Session Management
Does the organization implement controls to prevent session hijacking via man-in-the-middle attacks?,Identity and Access Management,Session Management
Are users prompted to confirm their actions before performing sensitive operations within a session?,Identity and Access Management,Session Management
Are session management settings regularly audited to ensure compliance with security policies and standards?,Identity and Access Management,Session Management
Does the organization have a process for securely storing and managing session keys?,Identity and Access Management,Session Management
Is there a mechanism to prevent users from bypassing session timeout mechanisms?,Identity and Access Management,Session Management
Does the organization implement controls to limit the number of concurrent sessions allowed per user?,Identity and Access Management,Session Management
Are session management controls integrated with the organization's identity and access management (IAM) system?,Identity and Access Management,Session Management
Is there a mechanism to detect and prevent session spoofing attacks?,Identity and Access Management,Session Management
Does the organization perform regular vulnerability assessments of session management implementations?,Identity and Access Management,Session Management
Are session management logs retained for a defined period in accordance with regulatory requirements and organizational policies?,Identity and Access Management,Session Management
Does the organization have a documented incident response plan for session-related security incidents?,Identity and Access Management,Session Management
Are session management controls regularly reviewed and updated to address emerging threats?,Identity and Access Management,Session Management
Does the organization use secure coding practices to prevent vulnerabilities in session management code?,Identity and Access Management,Session Management
Are session management developers trained on secure coding principles related to session security?,Identity and Access Management,Session Management
Does the organization have a change management process for session management system modifications?,Identity and Access Management,Session Management
Is there a designated individual or team responsible for overseeing session management security?,Identity and Access Management,Session Management
Are session management security metrics tracked and reported to management?,Identity and Access Management,Session Management
Does the organization perform user awareness training on the importance of secure session management practices?,Identity and Access Management,Session Management
Are users provided with guidance on how to protect their sessions from compromise?,Identity and Access Management,Session Management
Does the organization have a policy prohibiting the sharing of session credentials?,Identity and Access Management,Session Management
Is there a process to address identified session management vulnerabilities in a timely manner?,Identity and Access Management,Session Management
Does the organization use a secure session management framework or library?,Identity and Access Management,Session Management
Are session tokens invalidated after a password reset?,Identity and Access Management,Session Management
Does the organization have a bug bounty program to encourage the reporting of session management vulnerabilities?,Identity and Access Management,Session Management
Are session management controls regularly reviewed for effectiveness?,Identity and Access Management,Session Management
Does the organization have a process to evaluate the security of third-party session management solutions?,Identity and Access Management,Session Management
Are session management controls adapted to address specific application requirements?,Identity and Access Management,Session Management
"Does the organization implement session affinity or sticky sessions in a secure manner, preventing session hijacking in load-balanced environments?",Identity and Access Management,Session Management
