question,category,subcategory
Are all asset lifecycle management processes documented and regularly reviewed to ensure their effectiveness?,Asset Management,Asset Lifecycle Management
Does the organization have a process for monitoring the usage of assets and detecting unauthorized activities?,Asset Management,Asset Lifecycle Management
Are security controls implemented to prevent unauthorized access to assets during their lifecycle?,Asset Management,Asset Lifecycle Management
Does the organization conduct regular audits to verify compliance with asset lifecycle management policies and procedures?,Asset Management,Asset Lifecycle Management
"Are employees trained on asset lifecycle management policies and procedures, including their responsibilities for asset security?",Asset Management,Asset Lifecycle Management
Is there a process for reporting security incidents related to assets and for investigating and resolving these incidents?,Asset Management,Asset Lifecycle Management
Does the organization have a business continuity and disaster recovery plan that addresses asset lifecycle management?,Asset Management,Asset Lifecycle Management
Are backup copies of critical data stored securely and tested regularly to ensure their recoverability?,Asset Management,Asset Lifecycle Management
Does the organization have a process for managing vulnerabilities and patching assets throughout their lifecycle?,Asset Management,Asset Lifecycle Management
Are third-party service providers who manage assets subject to security requirements and oversight?,Asset Management,Asset Lifecycle Management
Does the organization have a process for managing the security of mobile devices and other portable assets throughout their lifecycle?,Asset Management,Asset Lifecycle Management
Is there a defined process for managing the security of cloud-based assets throughout their lifecycle?,Asset Management,Asset Lifecycle Management
Does the organization have a process for managing the security of virtualized assets throughout their lifecycle?,Asset Management,Asset Lifecycle Management
Are security requirements integrated into the software development lifecycle (SDLC) for applications used to manage assets?,Asset Management,Asset Lifecycle Management
"Does the organization have a process for managing the security of data throughout its lifecycle, from creation to disposal?",Asset Management,Asset Lifecycle Management
Are access controls regularly reviewed and updated to ensure that only authorized users have access to assets?,Asset Management,Asset Lifecycle Management
Does the organization have a process for managing the security of removable media throughout its lifecycle?,Asset Management,Asset Lifecycle Management
Are cryptographic controls used to protect sensitive data stored on assets?,Asset Management,Asset Lifecycle Management
Does the organization have a process for managing the lifecycle of cryptographic keys?,Asset Management,Asset Lifecycle Management
Are security logs monitored regularly to detect suspicious activity related to assets?,Asset Management,Asset Lifecycle Management
Does the organization have a process for managing the security of APIs used to access assets?,Asset Management,Asset Lifecycle Management
Are security assessments conducted regularly to identify vulnerabilities in assets?,Asset Management,Asset Lifecycle Management
Does the organization have a process for managing the security of network devices throughout their lifecycle?,Asset Management,Asset Lifecycle Management
"Is there a process for securely wiping or destroying data on decommissioned storage devices, as per NIST 800-88 guidelines?",Asset Management,Asset Lifecycle Management
Are there procedures for maintaining chain of custody for assets that are being disposed of?,Asset Management,Asset Lifecycle Management
Does the disposal process comply with all applicable regulations and legal requirements?,Asset Management,Asset Lifecycle Management
Are there procedures in place for tracking the movement and storage of assets?,Asset Management,Asset Lifecycle Management
Does the organization utilize a CMDB (Configuration Management Database) to manage asset configurations?,Asset Management,Asset Lifecycle Management
Are assets subject to a formal change management process?,Asset Management,Asset Lifecycle Management
Is there a documented procedure for managing the end-of-life of software applications?,Asset Management,Asset Lifecycle Management
Are software licenses tracked and managed throughout the software lifecycle?,Asset Management,Asset Lifecycle Management
"Does the organization have a policy for managing the lifecycle of physical security controls, such as cameras and access control systems?",Asset Management,Asset Lifecycle Management
Are the maintenance records of assets retained and accessible for audit purposes?,Asset Management,Asset Lifecycle Management
Are contracts with vendors reviewed to ensure that they address asset lifecycle management?,Asset Management,Asset Lifecycle Management
Are vendor security assessments conducted to ensure they align with organizational standards regarding asset handling?,Asset Management,Asset Lifecycle Management
Does the organization have procedures to ensure that firmware updates for hardware devices are applied in a timely manner?,Asset Management,Asset Lifecycle Management
Does the organization have procedures for identifying counterfeit or compromised hardware or software assets?,Asset Management,Asset Lifecycle Management
Are asset lifecycle management procedures aligned with the organization's risk management framework?,Asset Management,Asset Lifecycle Management
Does the organization leverage automated tools to manage and monitor the asset lifecycle?,Asset Management,Asset Lifecycle Management
Is the process for asset acquisition integrated with existing procurement and financial systems?,Asset Management,Asset Lifecycle Management
"Are asset disposal records maintained, including date of disposal, method of disposal, and confirmation of data sanitization?",Asset Management,Asset Lifecycle Management
